Unnamed: 0,IAGA_CODE,NAME,COUNTRY,LATITUDE_G,LONGITUDE_G,STATUS,GIN,LATITUDE_M,LONGITUDE_M
29,CNH,Changchun,China,44.08,124.86,closed,Edi,38.71490579055264,-160.68373306960385
30,CPL,Choutuppal,,17.294,78.9192,imo,Edi,11.54347650875026,152.07825505584776
31,CSY,Casey Station,Antarctica,-66.283,110.533,imo,Edi,-80.47852369817545,160.1266699472429
32,CTA,Charters Towers,Australia,-20.09,146.264,imo,Edi,-28.993706231275553,-138.9783549930297
33,CYG,Cheongyang,Korea,36.37,126.854,imo,Edi,30.538164951859933,-159.13140006203838
34,CZT,Port Alfred,French Southern and Antarctic Lands,-46.43,51.86,closed,Par,-53.165542937214184,107.60044878598862
35,DED,Deadhorse,United States of America,70.36,-148.79,imo,Gol,70.45106028445818,-95.91530042581923
36,DLR,Del Rio,United States of America,29.49,-100.91699999999996,closed,Gol,38.15960717976571,-31.213732292993093
37,DLT,Dalat,Vietnam,11.95,108.48,imo,Par,5.2577258710786765,-178.83544173784335
38,DMC,Dome Concordia,Antarctica,-75.25,124.167,closed,Par,-89.05828955436019,41.97668514148554
39,DOU,Dourbes,Belgium,50.1,4.6,imo,Edi,45.37164111696764,80.3279243540703
40,DRV,Dumont d'Urville,Antarctica,-66.67,140.01,closed,Par,-80.07123438500696,-123.72803576152006
41,DUR,Duronia,Italy,41.39,14.28,imo,Par,34.843032108112794,87.31867951055956
42,EBR,Ebro,Spain,40.957,0.333,imo,Par,33.248636479171616,75.03833190961822
43,ESK,Eskdalemuir,United Kingdom,55.314,-3.2060000000000173,imo,Edi,51.937331921994755,75.24847412676192
44,EYR,Eyrewell,New Zealand,-43.474,172.393,imo,Edi,-49.90799097890485,-102.59636457088712
45,FCC,Fort Churchill,Canada,58.759,-94.08800000000002,imo,Ott,67.13480425712251,-24.18009124725835
46,FRD,Fredericksburg,United States of America,38.21,-77.36700000000002,imo,Gol,46.77201605901408,0.122164874673598
47,FRN,Fresno,United States of America,37.09,-119.72,imo,Gol,42.674861723599825,-54.11025112541028
48,FUR,Furstenfeldbruck,Germany,48.17,11.28,imo,Edi,43.11965735058655,85.67413052951034
49,GAN,Gan International Airport,Maldives,-0.6946,73.15374,imo,Edi,-8.45984649382575,145.70401169326104
50,GCK,Grocka,Republic of Serbia,44.633,20.767,imo,Edi,39.36999642664113,93.68224938570785
51,GDH,Qeqertarsuaq (Godhavn),Greenland,69.252,-53.533000000000015,imo,Kyo,73.88955440475092,36.0653479738425
52,GLN,Glenlea,Canada,49.645,-97.12,closed,Ott,58.28143047578926,-27.65893859950297
53,GNA,Gnangara,Australia,-31.78,115.947,closed,Edi,-42.90385224674583,-172.0591708578503
54,GNG,Gingin,Australia,-31.356,115.715,imo,Edi,-42.425089152927626,-172.29271887720813
55,GUA,Guam,United States of America,13.59,144.87,imo,Gol,6.146068403988352,-142.95927066229805
56,GUI,Guimar,Spain,28.321,-16.440999999999974,imo,Par,8.389189431374874,59.937067400548905
57,GZH,Zhaoqing,China,23.97,112.45,closed,Edi,18.403057645497967,-174.39835849023893
58,HAD,Hartland,United Kingdom,51.0,-4.480000000000018,imo,Edi,46.665984713100634,73.01911143538494
59,HBK,Hartebeesthoek,South Africa,-25.88,27.71,imo,Edi,-35.545127945854105,96.71316505403125
60,HER,Hermanus,South Africa,-34.43,19.23,imo,Edi,-42.34128838605599,84.63468165296584
61,HLP,Hel,Poland,54.6035,18.8107,imo,Edi,50.803090554239425,93.69667644435161
